word,color,congruent,corans,polycolor,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instructionstext1.started,instructionstext1.stopped,target1.started,target1.stopped,response1.keys,response1.corr,response1.rt,response1.started,response1.stopped,Instructiontext2.started,Instructiontext2.stopped,target2.started,target2.stopped,response2.keys,response2.corr,response2.rt,response2.started,response2.stopped,instructiontext3.started,instructiontext3.stopped,target3.started,target3.stopped,response3.keys,response3.corr,response3.rt,response3.started,response3.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
red,red,1,left,,0,0,0,0,,,,,,,,,10.634346900042146,None,139.82382920000236,None,left,1,1.5128442000132054,139.82382920000236,None,,,,,,,,,,,,,,,,,,,,,Rishi,001,2021_Apr_09_1730,exp1,2020.2.10,59.918702299519296,
blue,blue,1,right,,0,1,1,7,,,,,,,,,,,142.35633139999118,None,right,1,1.5780454999767244,142.35633139999118,None,,,,,,,,,,,,,,,,,,,,,Rishi,001,2021_Apr_09_1730,exp1,2020.2.10,59.918702299519296,
blue,blue,1,right,,0,2,2,4,,,,,,,,,,,144.9394632000476,None,right,1,1.530027600005269,144.9394632000476,None,,,,,,,,,,,,,,,,,,,,,Rishi,001,2021_Apr_09_1730,exp1,2020.2.10,59.918702299519296,
red,red,1,left,,0,3,3,8,,,,,,,,,,,147.48853850003798,None,left,1,1.4743102000793442,147.48853850003798,None,,,,,,,,,,,,,,,,,,,,,Rishi,001,2021_Apr_09_1730,exp1,2020.2.10,59.918702299519296,
blue,blue,1,right,,0,4,4,6,,,,,,,,,,,149.97061289998237,None,right,1,2.241260400041938,149.97061289998237,None,,,,,,,,,,,,,,,,,,,,,Rishi,001,2021_Apr_09_1730,exp1,2020.2.10,59.918702299519296,
green,green,1,down,,0,5,5,3,,,,,,,,,,,153.23645169998053,None,down,1,1.9071400000248104,153.23645169998053,None,,,,,,,,,,,,,,,,,,,,,Rishi,001,2021_Apr_09_1730,exp1,2020.2.10,59.918702299519296,
green,green,1,down,,0,6,6,5,,,,,,,,,,,156.15207589999773,None,down,1,1.2153885000152513,156.15207589999773,None,,,,,,,,,,,,,,,,,,,,,Rishi,001,2021_Apr_09_1730,exp1,2020.2.10,59.918702299519296,
green,green,1,down,,0,7,7,2,,,,,,,,,,,158.3676977000432,None,down,1,1.1292915000813082,158.3676977000432,None,,,,,,,,,,,,,,,,,,,,,Rishi,001,2021_Apr_09_1730,exp1,2020.2.10,59.918702299519296,
red,red,1,left,,0,8,8,1,,,,,,,,,,,160.5172190000303,None,left,1,2.206864299951121,160.5172190000303,None,,,,,,,,,,,,,,,,,,,,,Rishi,001,2021_Apr_09_1730,exp1,2020.2.10,59.918702299519296,
blue,blue,1,right,,1,0,9,4,,,,,,,,,,,163.74965650006197,None,right,1,1.7912907999707386,163.74965650006197,None,,,,,,,,,,,,,,,,,,,,,Rishi,001,2021_Apr_09_1730,exp1,2020.2.10,59.918702299519296,
